"filename", "language", "GDResource", "GDScript", "gdshader", "GDScene", "Markdown", "JSON", "XML", "Shell Script", "Properties", "C#", "comment", "blank", "total"
"d:\Programming\Godot\Astra\.godot\editor\SpaceMono-Italic.ttf-081aba227eb4a044775924950e67dd84.fontdata-folding-af074dead95bf06a768c5c9684d7f7c9.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\SpaceMono-Regular.ttf-ed3e050069619f85dc343ec8b919c27f.fontdata-folding-66bc8202f654bccd33067c994ccd8680.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Thruster.tscn-editstate-a88a0292fb7f12bc172e4327d597014a.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 2, 176
"d:\Programming\Godot\Astra\.godot\editor\Thruster.tscn-folding-a88a0292fb7f12bc172e4327d597014a.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Godot\Astra\.godot\editor\Vape.tres-folding-ee06c3d15d959ba8fedbb7bdfc9c2ed9.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\Wall.tscn-editstate-2ecd49a0fe8786e787eba1f10521c02c.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 2, 176
"d:\Programming\Godot\Astra\.godot\editor\Wall.tscn-folding-2ecd49a0fe8786e787eba1f10521c02c.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\Programming\Godot\Astra\.godot\editor\WallTileMap.gd-folding-682eb2fa985816eb647bc044cb9a9699.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\WallTileMap.tres-folding-41cf18f38222391ee280fabdcfb3de74.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\World.gd-folding-f932007e106ee72380b191d965152654.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\Programming\Godot\Astra\.godot\editor\break.mp3-5630d015df923f09fda05954fe9e110c.mp3str-folding-51560ae667e9d5a1b2e0c9d35fe53994.cfg", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
